TERMS AND CONDITIONS
http://www.bankofcanada.ca/terms/

NAME
"Legacy Noon Rates"

DESCRIPTION
"The legacy exchange rates were last updated 28 April 2017 and will not be updated in future. Exchange rates are expressed as 1 unit of the foreign currency converted into Canadian dollars. All Bank of Canada exchange rates are indicative rates only."

LINK
"http://www.bankofcanada.ca/?p=190915"

SERIES
id,label,description
IEXE2702,"ARS_NOON","Argentine peso (local)"
IEXE2703,"ARS_NOON","Argentine peso"
IEXE1601,"AUD_NOON","Australian dollar"
IEXE6001,"BSD_NOON","Bahamian dollar"
IEXE2801,"BRL_NOON","Brazilian real"
IEXE4501,"XAF_NOON","CFA franc"
IEXE4601,"XPF_NOON","CFP franc"
IEXE2901,"CLP_NOON","Chilean peso"
IEXE2201,"CNY_NOON","Chinese renminbi"
IEXE3901,"COP_NOON","Colombian peso"
IEXE6101,"HRK_NOON","Croatian kuna"
IEXE2301,"CZK_NOON","Czech Republic koruna"
IEXE0301,"DKK_NOON","Danish krone"
IEXE4001,"XCD_NOON","East Caribbean dollar"
EUROCAE01,"EUR_NOON","European Euro"
IEXE4101,"FJD_NOON","Fiji dollar"
IEXE4701,"GHC_NOON","Ghanaian cedi (old)"
IEXE4702,"GHS_NOON","Ghanaian cedi"
IEXE6501,"GTQ_NOON","Guatemalan quetzal"
IEXE4301,"HNL_NOON","Honduran lempira"
IEXE1401,"HKD_NOON","Hong Kong dollar"
IEXE2501,"HUF_NOON","Hungarian forint"
IEXE4401,"ISK_NOON","Icelandic krona"
IEXE3001,"INR_NOON","Indian rupee"
IEXE2601,"IDR_NOON","Indonesian rupiah"
IEXE5301,"ILS_NOON","Israeli new shekel"
IEXE6401,"JMD_NOON","Jamaican dollar"
IEXE0701,"JPY_NOON","Japanese yen"
IEXE3201,"MYR_NOON","Malaysian ringgit"
IEXE2001,"MXN_NOON","Mexican peso"
IEXE4801,"MAD_NOON","Moroccan dirham"
IEXE3801,"MMK_NOON","Myanmar (Burma) kyat (fixed)"
IEXE3802,"MMK_NOON","Myanmar (Burma) kyat"
IEXE4901,"ANG_NOON","Neth. Antilles guilder"
IEXE1901,"NZD_NOON","New Zealand dollar"
IEXE0901,"NOK_NOON","Norwegian krone"
IEXE5001,"PKR_NOON","Pakistan rupee"
IEXE5101,"PAB_NOON","Panamanian balboa"
IEXE5201,"PEN_NOON","Peruvian new sol"
IEXE3301,"PHP_NOON","Philippine peso"
IEXE2401,"PLN_NOON","Polish zloty"
IEXE6505,"RON_NOON","Romanian new leu"
IEXE2101,"RUB_NOON","Russian ruble"
IEXE6504,"RSD_NOON","Serbian dinar"
IEXE3701,"SGD_NOON","Singapore dollar"
IEXE6201,"SKK_NOON","Slovak koruna"
IEXE3401,"ZAR_NOON","South African rand"
IEXE3101,"KRW_NOON","South Korean won"
IEXE5501,"LKR_NOON","Sri Lanka rupee"
IEXE1001,"SEK_NOON","Swedish krona"
IEXE1101,"CHF_NOON","Swiss franc"
IEXE3501,"TWD_NOON","Taiwanese new dollar"
IEXE3601,"THB_NOON","Thai baht"
IEXE5601,"TTD_NOON","Trinidad and Tobago dollar"
IEXE5701,"TND_NOON","Tunisian dinar"
IEXE5802,"TRY_NOON","Turkish lira"
IEXE6506,"AED_NOON","U.A.E. dirham"
IEXE5901,"VEB_NOON","Venezuelan bolivar"
IEXE5902,"VEF_NOON","Venezuelan bolivar fuerte"
IEXE1201,"GBP_NOON","U.K. pound sterling"
IEXE6503,"VND_NOON","Vietnamese dong"
IEXE0101,"USD_NOON","U.S. dollar (noon)"
IEXE0105,"USD_NOON","U.S. dollar noon, 90-day"
IEXE0124,"IEXE0124","US/Canada noon 3-month forward points spread"
IEXE0125,"IEXE0125","US/Canada noon 6-month forward points spread"

OBSERVATIONS
date,IEXE2702,IEXE2703,IEXE1601,IEXE6001,IEXE2801,IEXE4501,IEXE4601,IEXE2901,IEXE2201,IEXE3901,IEXE6101,IEXE2301,IEXE0301,IEXE4001,EUROCAE01,IEXE4101,IEXE4701,IEXE4702,IEXE6501,IEXE4301,IEXE1401,IEXE2501,IEXE4401,IEXE3001,IEXE2601,IEXE5301,IEXE6401,IEXE0701,IEXE3201,IEXE2001,IEXE4801,IEXE3801,IEXE3802,IEXE4901,IEXE1901,IEXE0901,IEXE5001,IEXE5101,IEXE5201,IEXE3301,IEXE2401,IEXE6505,IEXE2101,IEXE6504,IEXE3701,IEXE6201,IEXE3401,IEXE3101,IEXE5501,IEXE1001,IEXE1101,IEXE3501,IEXE3601,IEXE5601,IEXE5701,IEXE5802,IEXE6506,IEXE5901,IEXE5902,IEXE1201,IEXE6503,IEXE0101,IEXE0105,IEXE0124,IEXE0125
2007-05-01,0.3556,,0.9189,1.1089,0.5452,0.002299,0.01264,0.002108,0.1439,0.000526,0.2049,0.05358,0.2024,0.4153,1.5081,0.6923,0.000119,,0.14480,0.05869,0.141758,0.006080,0.01728,0.02704,0.000122,0.2745,0.01630,0.009257,0.3241,0.10140,0.1345,0.1989,,0.6230,0.8224,0.1857,0.01826,1.1089,0.3495,0.02335,0.3988,,0.04308,,0.7290,0.04478,0.1579,0.001191,0.01003,0.17,0.9125,0.03328,0.03381,0.1763,0.8588,0.8187,,0.000516,,2.2171,0.000069,1.1089,1.1059,-0.30,-0.55
2007-05-02,0.3558,,0.9145,1.1087,0.5474,0.002298,0.01263,0.002111,0.1439,0.000533,0.2051,0.05357,0.2023,0.4152,1.5074,0.6904,0.000119,,0.14500,0.05868,0.141744,0.006096,0.01735,0.02701,0.000122,0.2727,0.01629,0.009235,0.3240,0.10140,0.1346,0.1982,,0.6229,0.8189,0.1858,0.01828,1.1087,0.3497,0.02335,0.4009,,0.04308,,0.7266,0.04477,0.1574,0.001192,0.01002,0.17,0.9135,0.03329,0.03391,0.1763,0.8585,0.8160,,0.000516,,2.2073,0.000069,1.1087,1.1057,-0.30,-0.55
2007-05-03,0.3552,,0.9124,1.1070,0.5472,0.002289,0.01258,0.002116,0.1437,0.000533,0.2043,0.05335,0.2015,0.4146,1.5017,0.6859,0.000119,,0.14480,0.05859,0.141531,0.006091,0.01736,0.02711,0.000122,0.2737,0.01626,0.009199,0.3236,0.10160,0.1339,0.1982,,0.6219,0.8150,0.1850,0.01825,1.1070,0.3490,0.02320,0.4001,,0.04295,,0.7267,0.04466,0.1588,0.001194,0.01000,0.16,0.9110,0.03326,0.03368,0.1760,0.8559,0.8173,,0.000516,,2.2005,0.000069,1.1070,1.1040,-0.30,-0.55
2007-05-04,0.3555,,0.9083,1.1069,0.5455,0.002293,0.01260,0.002127,0.1437,0.000535,0.2048,0.05338,0.2018,0.4146,1.5040,0.6858,0.000119,,0.14480,0.05858,0.141530,0.006111,0.01742,0.02727,0.000124,0.2742,0.01627,0.009211,0.3236,0.10170,0.1343,0.1978,,0.6219,0.8137,0.1853,0.01825,1.1069,0.3496,0.02328,0.4020,,0.04299,,0.7304,0.04483,0.1596,0.001193,0.00998,0.16,0.9138,0.03326,0.03395,0.1760,0.8563,0.8223,,0.000515,,2.2062,0.000069,1.1069,1.1039,-0.30,-0.55
2007-05-07,0.3543,,0.9099,1.1024,0.5445,0.002288,0.01258,0.002130,0.1431,0.000531,0.2043,0.05322,0.2014,0.4129,1.5010,0.6830,0.000119,,0.14430,0.05834,0.140999,0.006103,0.01736,0.02720,0.000124,0.2754,0.01620,0.009189,0.3228,0.10160,0.1339,0.1974,,0.6193,0.8134,0.1846,0.01818,1.1024,0.3481,0.02327,0.4001,,0.04286,,0.7282,0.04474,0.1601,0.001195,0.00994,0.16,0.9114,0.03318,0.03386,0.1753,0.8535,0.8255,,0.000513,,2.1986,0.000069,1.1024,1.0994,-0.30,-0.55
2007-05-08,0.3554,,0.9143,1.1048,0.5453,0.002279,0.01253,0.002126,0.1436,0.000532,0.2037,0.05286,0.2006,0.4138,1.4950,0.6861,0.000119,,0.14470,0.05847,0.141310,0.006059,0.01722,0.02718,0.000124,0.2776,0.01624,0.009215,0.3242,0.10180,0.1336,0.1975,,0.6207,0.8144,0.1837,0.01817,1.1048,0.3489,0.02333,0.3979,,0.04280,,0.7288,0.04456,0.1595,0.001197,0.00997,0.16,0.9069,0.03322,0.03379,0.1756,0.8524,0.8248,,0.000515,,2.1986,0.000069,1.1048,1.1018,-0.30,-0.55
2007-05-09,0.3550,,0.9166,1.1064,0.5470,0.002285,0.01256,0.002135,0.1438,0.000541,0.2045,0.05307,0.2012,0.4144,1.4991,0.6870,0.000119,,0.14480,0.05856,0.141486,0.006069,0.01730,0.02719,0.000126,0.2791,0.01626,0.009235,0.3251,0.10220,0.1338,0.1976,,0.6216,0.8125,0.1842,0.01826,1.1064,0.3496,0.02337,0.4006,,0.04290,,0.7298,0.04467,0.1604,0.001198,0.00999,0.16,0.9094,0.03325,0.03383,0.1763,0.8556,0.8291,,0.000515,,2.2088,0.000069,1.1064,1.1034,-0.30,-0.55
2007-05-10,0.3556,,0.9212,1.1073,0.5487,0.002281,0.01254,0.002135,0.1439,0.000543,0.2041,0.05293,0.2008,0.4147,1.4962,0.6874,0.000119,,0.14490,0.05860,0.141587,0.006010,0.01739,0.02697,0.000126,0.2788,0.01625,0.009198,0.3255,0.10240,0.1337,0.1977,,0.6221,0.8112,0.1829,0.01828,1.1073,0.3497,0.02346,0.3972,,0.04287,,0.7294,0.04450,0.1585,0.001197,0.00999,0.16,0.9081,0.03324,0.03399,0.1760,0.8540,0.8236,,0.000516,,2.1959,0.000069,1.1073,1.1043,-0.30,-0.55
2007-05-11,0.3576,,0.9270,1.1135,0.5517,0.002295,0.01261,0.002149,0.1451,0.000549,0.2056,0.05327,0.2020,0.4170,1.5053,0.6920,0.000120,,0.14570,0.05893,0.142385,0.006072,0.01737,0.02733,0.000126,0.2803,0.01633,0.009264,0.3266,0.10290,0.1346,0.1986,,0.6256,0.8173,0.1841,0.01838,1.1135,0.3513,0.02355,0.4002,,0.04312,,0.7338,0.04471,0.1598,0.001202,0.01004,0.16,0.9137,0.03343,0.03374,0.1770,0.8581,0.8347,,0.000519,,2.2073,0.000069,1.1135,1.1106,-0.29,-0.55
2007-05-14,0.3552,,0.9223,1.1069,0.5503,0.002285,0.01256,0.002133,0.1441,0.000552,0.2050,0.05300,0.2012,0.4146,1.4991,0.6884,0.000119,,0.14490,0.05858,0.141697,0.006056,0.01742,0.02726,0.000126,0.2791,0.01624,0.009197,0.3254,0.10250,0.1339,0.1977,,0.6219,0.8168,0.1828,0.01828,1.1069,0.3493,0.02341,0.3978,,0.04292,,0.7302,0.04472,0.1594,0.001198,0.00997,0.16,0.9077,0.03324,0.03314,0.1760,0.8547,0.8313,,0.000515,,2.1918,0.000069,1.1069,1.1039,-0.30,-0.56
